File Path,Status
C:\Users\nik\Downloads\0543_slc_01_300\ACRIN-NSCLC-FDG-PET-131 ACRIN-NSCLC-FDG-PET-131\dummy_folder\IMG-0001-00252.dcm,Success
C:\Users\nik\Downloads\0543_slc_01_300\ACRIN-NSCLC-FDG-PET-131 ACRIN-NSCLC-FDG-PET-131\dummy_folder\IMG-0001-00253.dcm,Success
C:\Users\nik\Downloads\0543_slc_01_300\ACRIN-NSCLC-FDG-PET-131 ACRIN-NSCLC-FDG-PET-131\dummy_folder\IMG-0001-00254.dcm,Success
C:\Users\nik\Downloads\0543_slc_01_300\ACRIN-NSCLC-FDG-PET-131 ACRIN-NSCLC-FDG-PET-131\dummy_folder\IMG-0001-00255.dcm,Success
C:\Users\nik\Downloads\0543_slc_01_300\ACRIN-NSCLC-FDG-PET-131 ACRIN-NSCLC-FDG-PET-131\dummy_folder\IMG-0001-00256.dcm,Success
C:\Users\nik\Downloads\0543_slc_01_300\ACRIN-NSCLC-FDG-PET-131 ACRIN-NSCLC-FDG-PET-131\dummy_folder\IMG-0001-00257.dcm,Success
C:\Users\nik\Downloads\0543_slc_01_300\ACRIN-NSCLC-FDG-PET-131 ACRIN-NSCLC-FDG-PET-131\dummy_folder\IMG-0001-00258.dcm,Failed
C:\Users\nik\Downloads\0543_slc_01_300\ACRIN-NSCLC-FDG-PET-131 ACRIN-NSCLC-FDG-PET-131\dummy_folder\IMG-0001-00259.dcm,Success
C:\Users\nik\Downloads\0543_slc_01_300\ACRIN-NSCLC-FDG-PET-131 ACRIN-NSCLC-FDG-PET-131\dummy_folder\IMG-0001-00260.dcm,Failed
C:\Users\nik\Downloads\0543_slc_01_300\ACRIN-NSCLC-FDG-PET-131 ACRIN-NSCLC-FDG-PET-131\dummy_folder\IMG-0001-00261.dcm,Failed
C:\Users\nik\Downloads\0543_slc_01_300\ACRIN-NSCLC-FDG-PET-131 ACRIN-NSCLC-FDG-PET-131\dummy_folder\IMG-0001-00262.dcm,Success
C:\Users\nik\Downloads\0543_slc_01_300\ACRIN-NSCLC-FDG-PET-131 ACRIN-NSCLC-FDG-PET-131\dummy_folder\IMG-0001-00263.dcm,Success
C:\Users\nik\Downloads\0543_slc_01_300\ACRIN-NSCLC-FDG-PET-131 ACRIN-NSCLC-FDG-PET-131\dummy_folder\IMG-0001-00264.dcm,Success
